MQ135,MQ7,Temperature,Humidity,Risk
407,490,17.0,80.5,CO Poisoning Risk
766,547,17.0,78.6,CO Poisoning Risk
314,274,17.9,74.7,Moderate Risk
908,151,32.1,70.1,High Risk
323,433,19.5,36.5,Moderate Risk
773,307,32.1,53.2,High Risk
753,607,26.0,67.3,CO Poisoning Risk
916,109,31.4,42.1,Asthma Risk
463,309,26.3,29.8,High Risk
761,382,21.1,50.6,Moderate Risk
697,345,34.9,51.0,High Risk
561,422,30.2,31.5,High Risk
322,219,24.6,45.3,Moderate Risk
781,196,28.3,77.5,High Risk
202,520,27.8,41.5,CO Poisoning Risk
919,310,21.6,58.7,Moderate Risk
586,373,23.2,54.3,Moderate Risk
531,207,20.6,74.6,Moderate Risk
653,482,37.0,63.3,CO Poisoning Risk
357,387,26.9,36.6,Moderate Risk
599,411,15.2,35.7,Moderate Risk
896,509,25.5,58.1,CO Poisoning Risk
475,243,14.2,30.5,Moderate Risk
476,544,19.9,49.3,CO Poisoning Risk
202,60,23.7,49.5,Safe
702,340,25.8,38.6,Moderate Risk
714,555,36.4,44.3,CO Poisoning Risk
170,283,36.6,45.8,Moderate Risk
788,625,15.4,28.6,CO Poisoning Risk
202,345,25.9,71.5,Moderate Risk
91,50,32.6,79.7,Safe
731,264,18.7,43.6,Moderate Risk
309,497,31.0,34.0,CO Poisoning Risk
655,477,34.1,79.5,CO Poisoning Risk
825,430,28.9,68.0,Moderate Risk
314,339,20.9,76.1,High Risk
474,162,35.2,47.5,Moderate Risk
492,449,34.2,54.1,High Risk
727,638,30.2,78.2,CO Poisoning Risk
219,610,21.7,52.8,CO Poisoning Risk
142,56,32.0,64.3,Safe
773,253,20.6,66.1,Moderate Risk
819,209,19.1,73.2,Moderate Risk
761,338,25.4,80.7,High Risk
799,563,36.9,46.1,CO Poisoning Risk
505,122,32.3,41.4,Moderate Risk
336,478,30.5,32.2,CO Poisoning Risk
528,621,23.8,74.3,CO Poisoning Risk
292,121,20.5,43.8,Safe
273,92,33.5,30.7,Safe
212,126,26.6,74.7,Safe
490,253,32.5,55.5,Moderate Risk
856,489,24.7,73.3,CO Poisoning Risk
383,640,31.1,57.9,CO Poisoning Risk
369,566,33.8,44.9,CO Poisoning Risk
699,73,22.4,35.0,Moderate Risk
287,348,13.3,51.6,Moderate Risk
600,509,19.1,29.4,CO Poisoning Risk
841,546,35.0,60.5,CO Poisoning Risk
233,490,29.5,51.1,CO Poisoning Risk
698,534,30.7,35.6,CO Poisoning Risk
290,472,20.8,56.6,CO Poisoning Risk
213,603,29.8,71.2,CO Poisoning Risk
276,403,28.5,80.6,High Risk
415,135,17.3,56.5,Moderate Risk
553,97,36.2,35.0,High Risk
438,633,21.5,71.8,CO Poisoning Risk
860,248,20.9,65.6,Moderate Risk
749,600,21.9,79.5,CO Poisoning Risk
853,200,15.2,56.9,Moderate Risk
492,46,28.0,47.3,Moderate Risk
435,401,18.7,80.0,High Risk
600,613,32.3,57.1,CO Poisoning Risk
236,102,22.5,28.9,Safe
237,298,24.0,53.6,Moderate Risk
800,224,28.5,28.1,High Risk
909,537,31.3,67.8,CO Poisoning Risk
578,79,18.5,58.6,Moderate Risk
729,119,36.2,33.9,Asthma Risk
640,333,27.9,71.9,Moderate Risk
427,415,13.1,57.0,Moderate Risk
730,631,23.0,34.2,CO Poisoning Risk
868,373,23.5,36.6,Moderate Risk
562,634,32.4,72.4,CO Poisoning Risk
240,348,20.3,47.2,Moderate Risk
504,623,20.9,72.3,CO Poisoning Risk
387,265,14.7,31.8,Moderate Risk
700,208,19.8,41.2,Moderate Risk
352,524,30.2,69.3,CO Poisoning Risk
853,499,28.2,62.7,CO Poisoning Risk
233,419,15.0,44.6,Moderate Risk
435,264,15.8,78.5,Moderate Risk
713,298,22.0,39.4,Moderate Risk
661,232,30.9,73.9,Moderate Risk
91,235,33.0,65.6,Moderate Risk
393,433,13.4,34.5,High Risk
343,259,20.9,58.0,Moderate Risk
741,419,23.2,78.2,High Risk
542,130,34.9,61.4,High Risk
126,518,25.0,56.6,CO Poisoning Risk
249,575,19.5,47.8,CO Poisoning Risk
98,91,22.4,70.6,Safe
322,109,23.5,77.3,Safe
188,519,29.1,68.7,CO Poisoning Risk
748,190,14.0,67.2,Moderate Risk
905,426,22.3,38.4,Moderate Risk
297,110,28.5,73.0,Safe
220,561,19.8,30.2,CO Poisoning Risk
493,137,27.2,68.9,Moderate Risk
241,470,21.6,39.4,CO Poisoning Risk
143,512,31.2,54.3,CO Poisoning Risk
209,138,14.5,65.5,Safe
762,177,35.0,69.0,High Risk
717,478,17.1,76.0,CO Poisoning Risk
676,385,16.8,43.3,Moderate Risk
714,358,33.2,40.1,Asthma Risk
509,635,33.9,81.8,CO Poisoning Risk
511,256,15.2,39.2,Moderate Risk
193,564,34.8,63.9,CO Poisoning Risk
343,203,19.6,79.4,Moderate Risk
316,312,27.8,76.4,High Risk
201,647,14.6,51.9,CO Poisoning Risk
599,518,22.1,62.4,CO Poisoning Risk
562,454,23.8,56.6,CO Poisoning Risk
188,518,27.4,46.7,CO Poisoning Risk
242,400,25.6,35.8,Moderate Risk
427,237,24.1,71.4,Moderate Risk
795,315,36.0,32.9,Asthma Risk
911,158,17.4,60.9,Moderate Risk
252,567,16.8,60.1,CO Poisoning Risk
809,99,30.1,46.1,Moderate Risk
770,109,14.8,35.3,Moderate Risk
250,316,24.6,71.2,Moderate Risk
669,546,24.6,52.9,CO Poisoning Risk
890,406,20.4,67.2,Moderate Risk
487,190,35.3,28.9,Moderate Risk
366,253,19.8,32.0,Moderate Risk
905,330,19.9,37.5,Moderate Risk
593,54,18.6,34.1,High Risk
481,230,16.5,38.4,Moderate Risk
224,618,21.7,65.1,CO Poisoning Risk
284,641,29.3,30.5,CO Poisoning Risk
490,508,30.8,30.0,CO Poisoning Risk
729,178,32.5,29.7,Asthma Risk
122,215,17.7,65.7,Moderate Risk
777,257,13.9,57.0,Moderate Risk
549,574,36.4,48.0,CO Poisoning Risk
559,546,13.3,64.5,CO Poisoning Risk
464,616,36.1,57.9,CO Poisoning Risk
111,644,32.9,28.4,CO Poisoning Risk
839,71,34.9,73.3,High Risk
759,112,22.3,46.9,Moderate Risk
127,452,17.7,49.6,CO Poisoning Risk
319,596,27.6,70.2,CO Poisoning Risk
454,153,30.8,38.1,Moderate Risk
652,118,16.1,28.5,High Risk
527,622,32.1,77.1,CO Poisoning Risk
865,306,18.0,55.3,Moderate Risk
372,412,24.8,46.9,Moderate Risk
116,281,33.6,72.2,Moderate Risk
315,410,17.6,29.4,High Risk
366,330,18.8,38.9,Moderate Risk
887,422,14.5,36.4,Moderate Risk
698,420,16.5,67.8,Moderate Risk
373,120,16.5,44.9,Moderate Risk
570,53,17.9,69.7,Moderate Risk
542,240,19.9,30.2,High Risk
918,334,32.6,60.8,High Risk
905,105,35.0,45.2,High Risk
748,433,22.8,38.1,Moderate Risk
605,607,16.1,72.1,CO Poisoning Risk
636,608,18.4,50.3,CO Poisoning Risk
281,52,30.7,58.9,Safe
138,413,29.3,29.8,High Risk
601,89,36.2,70.7,High Risk
106,388,13.3,43.5,Moderate Risk
261,419,31.0,65.4,High Risk
309,71,25.1,69.1,Safe
247,237,34.7,34.3,Moderate Risk
566,401,26.8,44.0,Moderate Risk
135,106,23.7,67.1,Safe
462,106,29.0,40.5,Moderate Risk
607,466,33.0,73.8,CO Poisoning Risk
188,595,19.8,44.8,CO Poisoning Risk
834,424,15.6,49.7,Moderate Risk
126,321,23.4,33.4,High Risk
369,475,18.1,36.0,CO Poisoning Risk
438,159,23.3,42.9,Moderate Risk
586,165,36.8,30.6,High Risk
391,569,26.8,38.4,CO Poisoning Risk
270,460,29.6,50.1,CO Poisoning Risk
696,207,29.3,48.5,Moderate Risk
188,381,32.7,38.7,High Risk
789,423,35.7,32.3,Asthma Risk
205,368,28.8,45.2,Moderate Risk
280,217,24.4,68.2,Moderate Risk
342,108,20.6,55.5,Moderate Risk
250,145,21.6,79.1,Safe
345,366,21.0,35.6,Moderate Risk
412,110,20.8,39.2,Moderate Risk
217,601,29.7,43.1,CO Poisoning Risk
107,643,27.1,28.7,CO Poisoning Risk
882,502,17.8,78.9,CO Poisoning Risk
824,623,36.3,52.0,CO Poisoning Risk
655,497,23.3,54.0,CO Poisoning Risk
659,303,26.6,36.5,Moderate Risk
412,470,29.9,75.1,CO Poisoning Risk
775,222,27.7,65.4,Moderate Risk
881,324,20.5,51.3,Moderate Risk
715,388,32.1,75.4,High Risk
377,61,15.6,76.9,Moderate Risk
752,340,26.7,30.7,High Risk
728,246,19.6,34.4,High Risk
244,238,27.8,29.5,Moderate Risk
579,193,18.2,59.4,Moderate Risk
475,419,31.5,39.8,High Risk
874,79,18.5,73.6,Moderate Risk
193,413,34.4,53.2,High Risk
482,73,33.7,73.2,Moderate Risk
900,265,21.7,58.0,Moderate Risk
335,97,22.3,71.0,Safe
265,397,29.8,48.1,Moderate Risk
128,436,15.2,79.1,High Risk
566,120,14.9,64.0,Moderate Risk
771,538,16.3,60.2,CO Poisoning Risk
848,566,26.5,47.0,CO Poisoning Risk
627,161,16.6,78.6,High Risk
907,324,19.7,46.2,Moderate Risk
497,219,28.5,73.1,Moderate Risk
614,339,13.4,49.8,Moderate Risk
917,495,17.3,69.4,CO Poisoning Risk
595,562,35.3,77.2,CO Poisoning Risk
914,65,28.9,53.1,Moderate Risk
125,117,20.3,56.4,Safe
774,80,14.1,45.8,Moderate Risk
109,551,27.1,31.0,CO Poisoning Risk
410,277,18.3,63.2,Moderate Risk
865,541,36.0,34.5,CO Poisoning Risk
601,250,29.5,47.1,Moderate Risk
489,470,36.4,46.9,CO Poisoning Risk
743,88,33.4,36.2,Asthma Risk
560,135,24.6,64.0,Moderate Risk
232,514,29.1,37.4,CO Poisoning Risk
181,649,32.5,70.0,CO Poisoning Risk
443,511,26.9,41.5,CO Poisoning Risk
889,498,14.5,43.5,CO Poisoning Risk
816,639,24.3,46.6,CO Poisoning Risk
140,377,16.1,36.2,Moderate Risk
754,551,30.2,51.5,CO Poisoning Risk
787,514,29.3,32.3,CO Poisoning Risk
664,65,36.8,51.1,High Risk
279,272,28.1,46.4,Moderate Risk
214,420,32.2,46.3,High Risk
239,174,19.4,63.7,Safe
403,458,21.2,69.5,CO Poisoning Risk
659,115,35.0,47.2,High Risk
431,448,31.1,42.1,High Risk
394,606,28.7,54.7,CO Poisoning Risk
781,441,19.1,70.5,Moderate Risk
771,381,29.8,62.8,Moderate Risk
872,549,34.3,30.1,CO Poisoning Risk
143,320,18.5,53.9,Moderate Risk
533,57,29.9,81.5,High Risk
702,47,22.4,47.1,Moderate Risk
353,268,15.9,51.8,Moderate Risk
142,219,31.3,43.5,Moderate Risk
661,429,17.0,54.9,Moderate Risk
709,646,19.1,36.7,CO Poisoning Risk
94,285,31.8,41.3,Moderate Risk
192,591,30.8,66.4,CO Poisoning Risk
285,58,19.1,35.5,Safe
863,239,35.6,78.0,High Risk
439,441,18.2,44.6,Moderate Risk
136,475,36.8,59.1,CO Poisoning Risk
912,350,30.7,45.4,Moderate Risk
909,378,22.4,53.8,Moderate Risk
745,454,16.1,76.8,CO Poisoning Risk
358,47,20.7,31.7,Moderate Risk
459,596,17.6,74.2,CO Poisoning Risk
725,496,27.9,58.1,CO Poisoning Risk
195,539,21.6,63.9,CO Poisoning Risk
759,461,20.1,31.0,CO Poisoning Risk
748,435,31.2,69.1,High Risk
746,417,18.5,34.9,High Risk
209,96,27.1,80.1,Safe
876,420,17.7,71.2,Moderate Risk
693,439,30.2,54.6,Moderate Risk
147,186,28.0,77.9,Safe
435,130,32.2,37.1,Moderate Risk
830,508,14.6,81.5,CO Poisoning Risk
563,90,18.0,66.7,Moderate Risk
206,282,16.7,33.3,Moderate Risk
919,54,17.6,57.0,Moderate Risk
880,617,15.5,66.4,CO Poisoning Risk
216,574,26.5,61.1,CO Poisoning Risk
482,642,27.2,50.9,CO Poisoning Risk
730,222,33.2,41.4,Asthma Risk
147,50,23.0,40.9,Safe
723,351,25.8,78.1,High Risk
602,592,36.8,40.7,CO Poisoning Risk
840,371,25.8,80.0,High Risk
891,400,26.8,39.4,Moderate Risk
185,439,36.9,48.8,High Risk
727,344,36.9,28.7,Asthma Risk
207,570,23.2,76.8,CO Poisoning Risk
649,329,28.2,33.6,High Risk
690,374,24.5,47.3,Moderate Risk
577,94,30.3,73.5,Moderate Risk
326,422,35.5,70.8,High Risk
361,644,20.4,73.4,CO Poisoning Risk
278,582,32.7,77.4,CO Poisoning Risk
793,188,28.7,77.2,High Risk
536,104,19.7,69.6,Moderate Risk
670,119,32.1,59.5,High Risk
879,47,23.3,58.3,Moderate Risk
336,619,15.9,28.7,CO Poisoning Risk
165,492,36.8,67.0,CO Poisoning Risk
243,319,23.2,40.2,Moderate Risk
745,574,26.0,72.7,CO Poisoning Risk
524,636,32.4,57.9,CO Poisoning Risk
175,259,36.1,81.3,Moderate Risk
786,529,33.9,39.4,CO Poisoning Risk
374,373,25.6,67.1,Moderate Risk
309,299,26.1,57.6,Moderate Risk
158,431,19.7,78.3,High Risk
136,170,24.1,42.4,Safe
183,628,35.7,31.2,CO Poisoning Risk
839,594,30.4,57.4,CO Poisoning Risk
542,368,13.3,56.2,Moderate Risk
293,248,15.8,44.8,Moderate Risk
307,216,35.2,81.3,Moderate Risk
563,261,33.4,31.8,High Risk
521,289,24.7,58.8,Moderate Risk
430,380,27.8,42.1,Moderate Risk
640,342,20.0,28.1,High Risk
701,226,32.0,81.3,High Risk
378,378,27.5,54.0,Moderate Risk
343,555,29.7,74.3,CO Poisoning Risk
823,427,22.0,73.4,Moderate Risk
446,243,23.3,71.9,Moderate Risk
112,376,18.0,52.8,Moderate Risk
851,209,35.8,76.4,High Risk
611,286,35.7,47.8,High Risk
847,271,32.6,50.1,High Risk
189,600,35.5,41.8,CO Poisoning Risk
891,495,29.0,52.2,CO Poisoning Risk
269,240,18.6,81.3,Moderate Risk
312,248,31.2,59.0,Moderate Risk
851,502,20.8,72.9,CO Poisoning Risk
748,301,23.6,42.2,Moderate Risk
531,573,19.6,79.6,CO Poisoning Risk
697,316,23.2,28.7,High Risk
858,53,29.3,78.2,High Risk
414,245,15.7,76.5,Moderate Risk
605,103,15.5,31.6,High Risk
105,437,29.4,60.7,Moderate Risk
881,163,31.7,70.4,High Risk
425,597,26.2,49.8,CO Poisoning Risk
848,443,17.4,33.0,High Risk
347,375,23.3,72.8,Moderate Risk
586,311,31.2,53.2,High Risk
249,564,29.5,42.2,CO Poisoning Risk
564,524,15.6,31.8,CO Poisoning Risk
753,178,36.3,62.6,High Risk
779,399,18.4,30.3,High Risk
764,628,18.3,70.7,CO Poisoning Risk
469,542,24.0,69.6,CO Poisoning Risk
634,151,20.9,45.4,Moderate Risk
780,334,36.6,53.5,High Risk
516,191,14.8,64.1,Moderate Risk
702,371,20.4,79.8,High Risk
357,459,22.2,56.1,CO Poisoning Risk
666,254,24.8,81.8,High Risk
506,340,13.4,45.6,Moderate Risk
257,442,15.0,56.4,Moderate Risk
132,147,19.2,34.2,Safe
645,552,26.3,58.0,CO Poisoning Risk
374,253,31.4,57.0,Moderate Risk
486,472,29.5,73.8,CO Poisoning Risk
101,437,26.6,81.8,High Risk
696,153,22.5,81.3,High Risk
391,392,33.9,40.8,High Risk
342,94,24.0,46.3,Moderate Risk
588,149,20.2,42.8,Moderate Risk
843,464,28.1,38.8,CO Poisoning Risk
124,417,29.6,36.1,Moderate Risk
816,71,22.6,55.6,Moderate Risk
179,317,13.7,75.1,High Risk
865,384,15.3,59.9,Moderate Risk
694,345,33.3,75.1,High Risk
691,524,14.4,79.8,CO Poisoning Risk
507,588,27.2,48.7,CO Poisoning Risk
204,601,17.4,73.1,CO Poisoning Risk
706,309,18.5,30.8,High Risk
285,586,19.6,54.0,CO Poisoning Risk
915,640,13.9,47.9,CO Poisoning Risk
590,210,17.3,39.1,Moderate Risk
715,360,28.6,51.7,Moderate Risk
582,45,25.0,52.0,Moderate Risk
164,305,32.1,71.7,High Risk
502,107,14.5,74.9,Moderate Risk
465,527,34.3,63.5,CO Poisoning Risk
509,365,36.9,62.2,High Risk
818,245,13.4,33.9,High Risk
366,266,36.2,59.1,Moderate Risk
850,196,18.7,42.8,Moderate Risk
765,506,29.6,43.9,CO Poisoning Risk
483,261,20.0,33.1,Moderate Risk
546,240,25.5,62.3,Moderate Risk
281,246,25.3,59.5,Moderate Risk
828,278,21.7,39.9,Moderate Risk
778,185,30.2,42.2,Asthma Risk
188,542,27.4,69.7,CO Poisoning Risk
637,599,25.2,70.8,CO Poisoning Risk
185,101,36.6,54.6,Safe
753,548,35.6,36.0,CO Poisoning Risk
752,186,35.9,31.0,Asthma Risk
279,628,34.2,42.7,CO Poisoning Risk
825,583,19.1,67.5,CO Poisoning Risk
126,150,21.4,60.4,Safe
869,209,18.5,66.8,Moderate Risk
458,259,36.7,53.5,Moderate Risk
784,115,16.7,68.8,Moderate Risk
614,623,21.8,54.0,CO Poisoning Risk
368,134,17.8,32.5,Moderate Risk
306,272,18.4,32.3,Moderate Risk
887,123,18.9,72.9,Moderate Risk
362,393,28.4,62.0,Moderate Risk
151,290,14.8,43.1,Moderate Risk
685,316,26.7,68.9,Moderate Risk
818,447,32.7,35.3,Asthma Risk
431,160,31.4,62.8,Moderate Risk
486,479,16.6,81.4,CO Poisoning Risk
788,574,35.0,36.1,CO Poisoning Risk
108,486,31.5,35.7,CO Poisoning Risk
266,216,13.1,53.3,Moderate Risk
701,60,30.7,62.7,Moderate Risk
485,100,30.7,29.4,Moderate Risk
534,635,24.9,55.0,CO Poisoning Risk
322,147,14.1,32.5,Safe
165,328,26.9,41.0,Moderate Risk
354,561,31.4,66.5,CO Poisoning Risk
544,322,19.5,67.9,Moderate Risk
885,313,29.0,67.4,Moderate Risk
807,444,21.5,31.5,High Risk
824,547,26.8,70.5,CO Poisoning Risk
473,130,22.2,51.3,Moderate Risk
653,364,20.3,53.7,Moderate Risk
595,76,33.5,50.7,High Risk
456,380,31.1,74.3,High Risk
233,95,21.3,64.7,Safe
158,123,23.4,55.0,Safe
188,218,29.6,73.1,Moderate Risk
485,545,32.5,71.5,CO Poisoning Risk
114,619,29.4,28.3,CO Poisoning Risk
558,120,26.0,53.9,Moderate Risk
573,360,35.9,30.3,High Risk
654,417,31.6,44.6,Asthma Risk
240,125,15.8,71.4,Safe
233,115,26.4,79.0,Safe
658,115,22.8,41.1,Moderate Risk
128,90,32.1,29.2,Safe
198,91,14.1,49.7,Safe
782,635,22.9,46.1,CO Poisoning Risk
131,466,20.6,64.6,CO Poisoning Risk
275,193,16.4,54.7,Moderate Risk
487,174,22.1,49.5,Moderate Risk
312,500,29.1,40.4,CO Poisoning Risk
723,549,21.7,72.7,CO Poisoning Risk
222,288,26.9,41.4,Moderate Risk
252,518,27.2,31.0,CO Poisoning Risk
304,426,27.1,58.5,Moderate Risk
822,147,25.7,45.1,Moderate Risk
324,533,15.8,66.5,CO Poisoning Risk
747,81,18.2,32.4,High Risk
840,593,32.2,80.2,CO Poisoning Risk
677,564,25.1,38.1,CO Poisoning Risk
